access-acct.read	cloudflare_one_and_zero_trust	Access: Organizations, Identity Providers, and Groups Read
access-acct.revoke	cloudflare_one_and_zero_trust	Access: Organizations, Identity Providers, and Groups Revoke
access-acct.write	cloudflare_one_and_zero_trust	Access: Organizations, Identity Providers, and Groups Write
access-app.read	cloudflare_one_and_zero_trust	Access: Apps Read
access-app.revoke	cloudflare_one_and_zero_trust	Access: Apps Revoke
access-app.write	cloudflare_one_and_zero_trust	Access: Apps Write
access-audit-log.read	cloudflare_one_and_zero_trust	Access: Audit Logs Read
access-certificate.read	cloudflare_one_and_zero_trust	Access: Mutual TLS Certificates Read
access-certificate.write	cloudflare_one_and_zero_trust	Access: Mutual TLS Certificates Write
access-custom-page.read	cloudflare_one_and_zero_trust	Access: Custom Pages Read
access-custom-page.write	cloudflare_one_and_zero_trust	Access: Custom Pages Write
access-device-posture.read	cloudflare_one_and_zero_trust	Access: Device Posture Read
access-device-posture.write	cloudflare_one_and_zero_trust	Access: Device Posture Write
access-group.read	cloudflare_one_and_zero_trust	Access: Groups Read
access-group.write	cloudflare_one_and_zero_trust	Access: Groups Write
access-idp.read	cloudflare_one_and_zero_trust	Access: Identity Providers Read
access-idp.write	cloudflare_one_and_zero_trust	Access: Identity Providers Write
access-key.read	cloudflare_one_and_zero_trust	Access: Keys Read
access-key.write	cloudflare_one_and_zero_trust	Access: Keys Write
access-org.read	cloudflare_one_and_zero_trust	Access: Organizations Read
access-org.revoke	cloudflare_one_and_zero_trust	Access: Organizations Revoke
access-org.write	cloudflare_one_and_zero_trust	Access: Organizations Write
access-policy-test.read	cloudflare_one_and_zero_trust	Access: Policy Test Read
access-policy-test.write	cloudflare_one_and_zero_trust	Access: Policy Test Write
access-policy.read	cloudflare_one_and_zero_trust	Access: Policies Read
access-policy.write	cloudflare_one_and_zero_trust	Access: Policies Write
access-population.read	cloudflare_one_and_zero_trust	Access: Population Read
access-population.write	cloudflare_one_and_zero_trust	Access: Population Write
access-saml-certificate.read	cloudflare_one_and_zero_trust	Access: SAML Certificates Read
access-saml-certificate.write	cloudflare_one_and_zero_trust	Access: SAML Certificates Write
access-scim-log.read	cloudflare_one_and_zero_trust	Access: SCIM Logs Read
access-seats.write	cloudflare_one_and_zero_trust	Zero Trust: Seats Write
access-service-token.read	cloudflare_one_and_zero_trust	Access: Service Tokens Read
access-service-token.write	cloudflare_one_and_zero_trust	Access: Service Tokens Write
access-ssh-auditing.read	cloudflare_one_and_zero_trust	Access: SSH Auditing Read
access-ssh-auditing.write	cloudflare_one_and_zero_trust	Access: SSH Auditing Write
access-tag.read	cloudflare_one_and_zero_trust	Access: Tags Read
access-tag.write	cloudflare_one_and_zero_trust	Access: Tags Write
access-users.read	cloudflare_one_and_zero_trust	Access: Users Read
access-users.write	cloudflare_one_and_zero_trust	Access: Users Write
access.read	cloudflare_one_and_zero_trust	Access: Apps and Policies Read
access.revoke	cloudflare_one_and_zero_trust	Access: Apps and Policies Revoke
access.write	cloudflare_one_and_zero_trust	Access: Apps and Policies Write
account-analytics.read	analytics_and_logs	Account Analytics Read
account-api-gateway.read	account_and_billing	Account API Gateway Read
account-api-gateway.write	account_and_billing	Account API Gateway
account-custom-asset.read	account_and_billing	Account Custom Asset Read
account-custom-asset.write	account_and_billing	Account Custom Asset Write
account-custom-error-rules.read	rules_and_configuration	Account Custom Error Rules Read
account-custom-error-rules.write	rules_and_configuration	Account Custom Error Rules Write
account-custom-pages.read	rules_and_configuration	Account Custom Pages Read
account-custom-pages.write	rules_and_configuration	Account Custom Pages Write
account-disable-esc.read	cache_and_performance	Disable ESC Read
account-disable-esc.write	cache_and_performance	Disable ESC Write
account-dns-settings.read	dns_and_zones	Account DNS Settings Read
account-dns-settings.write	dns_and_zones	Account DNS Settings Write
account-firewall-access-rules.read	app_security	Account Firewall Access Rules Read
account-firewall-access-rules.write	app_security	Account Firewall Access Rules Write
account-logs.read	analytics_and_logs	Logs Read
account-logs.write	analytics_and_logs	Logs Write
account-rule-lists.read	rules_and_configuration	Account Rule Lists Read
account-rule-lists.write	rules_and_configuration	Account Rule Lists Write
account-rulesets.read	rules_and_configuration	Account Rulesets Read
